sponsor_ein,plan_number,plan_year,issuer_name,investment_description,asset_type,morningstar_ticker,current_value
,,2024,BrokerageLink,BrokerageLink Account,Other,,919465000.0
,,2024,PIMCO,Total Return II,Mutual Fund,PODIX,261383000.0
,,2024,Vanguard,Target Retirement Income Fund,Target Date Fund,VTSAX,133475000.0
,,2024,Vanguard,Target Retirement 2020 Fund,Target Date Fund,VTSAX,117070000.0
,,2024,Vanguard,Target Retirement 2025 Fund,Target Date Fund,VTSAX,408188000.0
,,2024,Vanguard,Target Retirement 2030 Fund,Target Date Fund,VTSAX,903324000.0
,,2024,Vanguard,Target Retirement 2035 Fund,Target Date Fund,VTSAX,1522365000.0
,,2024,Vanguard,Target Retirement 2040 Fund,Target Date Fund,VTSAX,2075308000.0
,,2024,Vanguard,Target Retirement 2045 Fund,Target Date Fund,VTSAX,2955142000.0
,,2024,Vanguard,Target Retirement 2050 Fund,Target Date Fund,VTSAX,3784002000.0
,,2024,Vanguard,Target Retirement 2055 Fund,Target Date Fund,VTSAX,3890499000.0
,,2024,Vanguard,Target Retirement 2060 Fund,Target Date Fund,VTSAX,2643382000.0
,,2024,Vanguard,Target Retirement 2065 Fund,Target Date Fund,VTSAX,1142405000.0
,,2024,Harris Associates,Oakmark International Fund Class 3,Mutual Fund,,76869000.0
,,2024,Vanguard,Retirement Savings Trust II,Mutual Fund,VTSAX,422946000.0
,,2024,Vanguard,Target Retirement 2070 Fund,Target Date Fund,VTSAX,123119000.0
,,2024,Vanguard,Small Value Index Fund Institutional,Mutual Fund,VTSAX,340985000.0
,,2024,Vanguard,FTSE Social Index Fund Institutional Shares,Mutual Fund,VTSAX,873714000.0
,,2024,Vanguard,Total International Stock Market Index Fund Institutional Shares,Common Stock,,634822000.0
,,2024,Vanguard,Total Bond Market Index Fund Institutional Shares,Corporate Bond,,313836000.0
,,2024,Vanguard,Institutional 500 Index Trust,Mutual Fund,VFIAX,4619443000.0
,,2024,Vanguard,Federal Money Market Fund Admiral Shares,Money Market Fund,,59815000.0
,,2024,Vanguard,Explorer Fund Admiral Shares,Mutual Fund,VTSAX,527308000.0
,,2024,American Funds,EuroPacific Growth Fund Class R-6,Mutual Fund,,180005000.0
,,2024,AMAZONCOM,AMAZON.COM,Other,,2701378000.0
,,2024,State Street Global Advisors,Large Cap Value Collective Trust Fund,Common/Collective Trust Fund,,451719000.0
,,2024,State Street Global Advisors,Large Cap Growth Collective Trust Fund,Common/Collective Trust Fund,,1822800000.0
,,2024,State Street Global Advisors,Small/Mid Cap Collective Trust Fund,Common/Collective Trust Fund,,262857000.0
